Crack_Length_mm,KI,KII,KIII
15,13.4216,8.477,9.1462
15,13.7484,8.4975,9.5653
15.5,14.2246,9.2303,9.3503
15.5,14.1755,9.2169,9.3382
15.5,14.1265,9.2035,9.326
15.5,14.0617,9.2704,9.4088
15.5,13.997,9.3374,9.4915
15.5,14.044,9.4057,9.5023
15.5,14.0909,9.474,9.513
15.5,14.337,9.4343,9.3251
15.5,14.5831,9.3946,9.1372
15.5,14.1613,9.0849,9.0717
15.5,13.7395,8.7752,9.0063
15.5,14.0824,8.7965,9.4387
15.5,14.4252,8.8177,9.8712
16,14.9307,9.5902,9.6456
16,14.8792,9.5763,9.6331
16,14.8277,9.5624,9.6205
16,14.7598,9.632,9.7059
16,14.6918,9.7015,9.7913
16,14.7411,9.7725,9.8024
16,14.7904,9.8434,9.8135
16,15.0487,9.8022,9.6196
16,15.307,9.7609,9.4257
16,14.8643,9.4392,9.3582
16,14.4216,9.1174,9.2907
16,14.7814,9.1395,9.7368
16,15.1412,9.1616,10.1829
16.5,15.6789,9.9777,9.9468
16.5,15.6248,9.9633,9.9338
16.5,15.5707,9.9488,9.9209
16.5,15.4994,10.0211,10.0089
16.5,15.428,10.0935,10.097
16.5,15.4798,10.1673,10.1084
16.5,15.5315,10.2412,10.1198
16.5,15.8028,10.1983,9.9199
16.5,16.074,10.1553,9.72
16.5,15.6091,9.8206,9.6503
16.5,15.1442,9.4858,9.5807
16.5,15.5221,9.5088,10.0408
16.5,15.9,9.5317,10.5008
17,16.4727,10.3958,10.2541
17,16.4159,10.3807,10.2408
17,16.3591,10.3656,10.2275
17,16.2841,10.441,10.3182
17,16.2092,10.5163,10.409
17,16.2635,10.5933,10.4208
17,16.3179,10.6702,10.4326
17,16.6028,10.6255,10.2264
17,16.8878,10.5808,10.0203
17,16.3994,10.232,9.9486
17,15.911,9.8832,9.8768
17,16.308,9.9072,10.351
17,16.705,9.9311,10.8253
17.5,17.316,10.8474,10.5681
17.5,17.2563,10.8317,10.5544
17.5,17.1965,10.816,10.5407
17.5,17.1177,10.8946,10.6342
17.5,17.0389,10.9732,10.7277
17.5,17.0961,11.0535,10.7399
17.5,17.1532,11.1338,10.752
17.5,17.4528,11.0871,10.5396
17.5,17.7524,11.0405,10.3272
17.5,17.2389,10.6766,10.2532
17.5,16.7255,10.3126,10.1792
17.5,17.1428,10.3376,10.668
17.5,17.5602,10.3625,11.1568
18,18.2128,11.336,10.8892
18,18.15,11.3196,10.875
18,18.0871,11.3032,10.8609
18,18.0043,11.3854,10.9572
18,17.9214,11.4675,11.0536
18,17.9815,11.5514,11.0661
18,18.0416,11.6353,11.0787
18,18.3567,11.5866,10.8598
18,18.6718,11.5378,10.6409
18,18.1318,11.1575,10.5647
18,17.5918,10.7772,10.4885
18,18.0307,10.8032,10.9921
18,18.4696,10.8293,11.4957
18.5,19.1675,11.8652,11.2178
18.5,19.1013,11.8479,11.2032
18.5,19.0352,11.8307,11.1886
18.5,18.948,11.9168,11.2879
18.5,18.8608,12.0028,11.3872
18.5,18.924,12.0906,11.4001
18.5,18.9873,12.1784,11.413
18.5,19.3189,12.1274,11.1875
18.5,19.6505,12.0764,10.962
18.5,19.0822,11.6783,10.8835
18.5,18.5138,11.2802,10.805
18.5,18.9758,11.3075,11.3238
18.5,19.4377,11.3348,11.8426
19,20.1845,12.4385,11.5544
19,20.1149,12.4204,11.5394
19,20.0452,12.4024,11.5244
19,19.9534,12.4926,11.6266
19,19.8616,12.5827,11.7289
19,19.9282,12.6748,11.7422
19,19.9948,12.7668,11.7555
19,20.344,12.7133,11.5232
19,20.6932,12.6599,11.291
19,20.0947,12.2425,11.2101
19,19.4962,11.8252,11.1292
19,19.9827,11.8538,11.6636
19,20.4691,11.8825,12.198
19.5,21.2688,13.0598,11.8997
19.5,21.1955,13.0409,11.8842
19.5,21.1221,13.022,11.8687
19.5,21.0253,13.1167,11.974
19.5,20.9285,13.2113,12.0793
19.5,20.9987,13.308,12.093
19.5,21.0689,13.4046,12.1067
19.5,21.4369,13.3485,11.8675
19.5,21.8048,13.2923,11.6283
19.5,21.1742,12.8542,11.5451
19.5,20.5436,12.416,11.4618
19.5,21.0561,12.446,12.0121
19.5,21.5687,12.4761,12.5625
20,22.4255,13.7334,12.2541
20,22.3481,13.7135,12.2382
20,22.2708,13.6936,12.2223
20,22.1687,13.7932,12.3307
20,22.0667,13.8927,12.4391
20,22.1407,13.9944,12.4532
20,22.2147,14.096,12.4673
20,22.6027,14.0369,12.221
20,22.9906,13.9779,11.9747
20,22.3257,13.5171,11.8889
20,21.6608,13.0564,11.8032
20,22.2012,13.088,12.3699
20,22.7417,13.1195,12.9367
